t,rss,heapTotal,heapUsed,external,arrayBuffers
1945836.704359,64212992,16736256,12639016,2313595,82465
1946837.600086,64212992,16736256,12700032,2313755,82625
1947839.449085,64212992,16736256,12761192,2313915,82785
1948841.12146,64212992,16736256,12822208,2314075,82945
1949842.312941,64212992,16736256,12883488,2314235,83105
1950843.266427,64212992,16736256,12944504,2314395,83265
1951843.998921,64212992,16736256,13005664,2314555,83425
1952845.283667,64212992,16736256,13066680,2314715,83585
1953845.617995,64212992,16736256,13127872,2314875,83745
1954847.107535,64212992,16736256,13188888,2315035,83905
1955847.711665,64212992,16736256,13244360,2315179,84049
1956848.813462,64212992,16736256,13309512,2315339,84209
1957850.177205,64212992,16736256,13375344,2315499,84369
1958851.28621,63504384,16736256,12741432,2313547,82417
1959852.171236,63504384,16736256,12802592,2313707,82577
1960853.200908,63635456,16736256,12863608,2313867,82737
1961854.266362,63635456,16736256,12924768,2314027,82897
1962855.13239,63635456,16736256,12985792,2314187,83057
1963856.161604,63766528,16736256,13046952,2314347,83217
1964857.135317,63766528,16736256,13107968,2314507,83377
1965858.14557,63897600,16736256,13169128,2314667,83537
1966859.295339,63897600,16736256,13233656,2314827,83697
1967860.479815,64028672,16736256,13294816,2314987,83857
1968862.290586,64028672,16736256,13360856,2315147,84017
1969862.665958,64159744,16736256,13428584,2315307,84177
1970864.118786,64159744,16736256,13489640,2315467,84337
1971864.585047,63459328,16736256,12873624,2313515,82385
1972866.676463,63459328,16736256,12929024,2321851,90721
1973868.160057,63590400,16736256,12990072,2322011,90881
1974869.096893,63590400,16736256,13051088,2322171,91041
1975870.501021,63721472,16736256,13112480,2322331,91201
1976872.008699,63721472,16736256,13173496,2322491,91361
1977872.78736,63721472,16736256,13234656,2322651,91521
1978874.074551,63852544,16736256,13295672,2322811,91681
1979875.066007,63852544,16736256,13356840,2322971,91841
1980875.48956,63983616,16736256,13417856,2323131,92001
1981876.630237,63983616,16736256,13479016,2323291,92161
1982877.775802,64114688,16736256,13540032,2323451,92321
1983878.585457,64114688,16736256,13601192,2323611,92481
1984880.247598,64114688,16736256,13666040,2323771,92641
1985881.370128,63467520,16736256,13189536,2321833,90703
1986882.831308,63598592,16736256,13250552,2321993,90863
1987884.150607,63598592,16736256,13311712,2322153,91023
1988885.195104,63729664,16736256,13372728,2322313,91183
1989885.546255,63729664,16736256,13428200,2322457,91327
1990886.95725,63729664,16736256,13489104,2322617,91487
1991888.127973,63860736,16736256,13550264,2322777,91647
1992889.094261,63860736,16736256,13611288,2322937,91807
1993890.414303,63991808,16736256,13672448,2323097,91967
1994892.166716,63991808,16736256,13733464,2323257,92127
1995892.956022,63991808,16736256,13794624,2323417,92287
1996893.957404,64122880,16736256,13855640,2323577,92447
1997895.427182,64122880,16736256,13916976,2323737,92607
1998896.913467,63426560,16736256,13194776,2321805,90675
1999898.087028,63557632,16736256,13255936,2321965,90835
2000899.504931,63557632,16736256,13316952,2322125,90995
2001901.011804,63557632,16736256,13378144,2322285,91155
2002901.832683,63688704,16736256,13439160,2322445,91315
2003903.359135,63688704,16736256,13500320,2322605,91475
2004905.071478,63819776,16736256,13561336,2322765,91635
2005905.703829,63819776,16736256,13622584,2322925,91795
2006906.783829,63950848,16736256,13683600,2323085,91955
2007907.924583,63950848,16736256,13744760,2323245,92115
2008908.790322,64081920,16736256,13805776,2323405,92275
2009909.721541,64081920,16736256,13864856,2323551,92421
2010911.166738,64212992,16736256,13922024,2323709,92579
2011912.564029,63528960,16736256,13402560,2321787,90657
2012914.05028,63528960,16736256,13463576,2321947,90817
2013914.612372,63660032,16736256,13524736,2322107,90977
2014915.803974,63660032,16736256,13585752,2322267,91137
2015916.851368,63791104,16736256,13646912,2322427,91297
2016918.25819,63791104,16736256,13707928,2322587,91457
2017919.038404,63922176,16736256,13769088,2322747,91617
2018919.870144,63922176,16736256,13830104,2322907,91777
2019921.155358,64053248,16736256,13891320,2323067,91937
